,District,Number of Contesting Parties,Party,Votes,Percent of Votes,Candidates
0,ALJUNIED,2,PAP,57330,40.05,"CHAN HUI YUH, CHUA ENG LEONG, VICTOR LYE THIAM FATT, SHAMSUL KAMAR BIN MOHAMED RAZALI, ALEX YEO SHENG CHYE"
1,ALJUNIED,2,WP,85815,59.95,"GERALD GIAM YEAN SONG, SYLVIA LIM, MUHAMAD FAISAL BIN ABDUL MANAP, LEON PERERA, PRITAM SINGH"
2,ANG MO KIO,2,PAP,124597,71.91,"DARRYL DAVID, GAN THIAM POH, LEE HSIEN LOONG, NADIA AHMAD SAMDIN, NG LING LING"
3,ANG MO KIO,2,RP,48677,28.09,"KENNETH ANDREW JEYARETNAM, NORAINI BTE YUNUS, SOH GUAN SOON, YEO YAO HUI, CHARLES, ZHU LAICHENG"
4,BISHAN-TOA PAYOH,2,PAP,62983,67.23,"CHEE HONG TAT, CHONG KEE HIONG, NG ENG HEN, SAKTIANDI BIN SUPAAT"
5,BISHAN-TOA PAYOH,2,SPP,30696,32.77,"STEVE CHIA, MELVYN CHIU, WILLIIAMSON LEE, OSMAN SULAIMAN"
6,BUKIT BATOK,2,SDP,12787,45.2,CHEE SOON JUAN
7,BUKIT BATOK,2,PAP,15500,54.8,MURALI PILLAI
8,BUKIT PANJANG,2,PAP,18085,53.73,LIANG ENG HWA
9,BUKIT PANJANG,2,SDP,15576,46.27,PAUL ANANTH TAMBYAH
10,CHUA CHU KANG,2,PSP,42012,41.36,"ABDUL RAHMAN BIN MOHAMAD, CHOO SHAUN MING, TAN MENG WAH, YUEN KIN PHENG"
11,CHUA CHU KANG,2,PAP,59554,58.64,"GAN KIM YONG, LOW YEN LING, DON WEE, ZHULKARNAIN ABDUL RAHIM"
12,EAST COAST,2,WP,53375,46.61,"ABDUL SHARIFF ABOO KASSIM, FOO SECK GUAN, DYLAN NG, NICOLE SEAH, TERENCE TAN LI-CHERN"
13,EAST COAST,2,PAP,61144,53.39,"CHERYL CHAN WEI LING, HENG SWEE KEAT, MOHD MALIKI BIN OSMAN, TAN KIAT HOW, TAN SOON NEO JESSICA"
14,HOLLAND-BUKIT TIMAH,2,SDP,36100,33.64,"MIN CHEONG, JAMES GOMEZ, ALFRED TAN, TAN JEE SAY"
15,HOLLAND-BUKIT TIMAH,2,PAP,71218,66.36,"EDWARD CHIA BING HUI, DE SOUZA CHRISTOPHER, SIM ANN, VIVIAN BALAKRISHNAN"
16,HONG KAH NORTH,2,PAP,16347,60.99,AMY KHOR LEAN SUAN
17,HONG KAH NORTH,2,PSP,10457,39.01,GIGENE WONG
18,HOUGANG,2,PAP,9791,38.79,LEE HONG CHUANG
19,HOUGANG,2,WP,15451,61.21,DENNIS TAN LIP FONG
20,JALAN BESAR,2,PV,34261,34.64,"MICHAEL FANG AMIN, LEONG SZE HIAN, LIM TEAN, NOR AZLAN BIN SULAIMAN"
21,JALAN BESAR,2,PAP,64631,65.36,"HENG CHEE HOW, DENISE PHUA LAY PENG, JOSEPHINE TEO, WAN RIZAL"
22,JURONG,2,PAP,91846,74.61,"HUANG WEI ZHONG SHAWN, RAHAYU BINTE MAHZAM, TAN WU MENG, THARMAN SHANMUGARATNAM, XIE YAO QUAN"
23,JURONG,2,RDU,31260,25.39,"MICHELLE LEE JUEN, LIYANA DHAMIRAH, RAVI PHILEMON, NICHOLAS TANG, ALEC TOK"
24,KEBUN BARU,2,PSP,7842,37.08,KUMARAN PILLAI
25,KEBUN BARU,2,PAP,13309,62.92,KWEK HIAN CHUAN
26,MACPHERSON,2,PPP,7489,28.26,GOH MENG SENG
27,MACPHERSON,2,PAP,19009,71.74,TIN PEI LING
28,MARINE PARADE,2,WP,55047,42.26,"AZHAR LATIP, FADLI FAWZI, NATHANIEL KOH, RON TAN JUN YEN, YEE JENN JONG"
29,MARINE PARADE,2,PAP,75203,57.74,"MOHD FAHMI ALIMAN, SEAH KIAN PENG, TAN CHUAN-JIN, TAN SEE LENG, EDWIN TONG CHUN FAI"
30,MARSILING-YEW TEE,2,SDP,40690,36.82,"DAMANHURI BIN ABAS, KHUNG WAI YEEN, LIM BOON HENG, BENJAMIN PWEE"
31,MARSILING-YEW TEE,2,PAP,69813,63.18,"HANY SOH HUI BIN, LAWRENCE WONG, ALEX YAM ZIMING, ZAQY MOHAMAD"
32,MARYMOUNT,2,PSP,9943,44.96,ANG YONG GUAN
33,MARYMOUNT,2,PAP,12173,55.04,GAN SIOW HUANG
34,MOUNTBATTEN,2,PAP,16285,73.82,LIM BIOW CHUAN
35,MOUNTBATTEN,2,PV,5775,26.18,SIVAKUMARAN CHELLAPPA
36,NEE SOON,2,PSP,53131,38.1,"BOWYER BRADLEY PETER, KALAYARASU MANICKAM, MUHAMMAD TAUFIK BIN SUPAN, S NALLAKARUPPAN, TAY CHYE SENG"
37,NEE SOON,2,PAP,86308,61.9,"DERRICK GOH SOON HEE, K. SHANMUGAM, MUHAMMAD FAISHAL IBRAHIM, NG KOK KWANG,  LOUIS, CARRIE TAN HUIMIN"
38,PASIR RIS-PUNGGOL,3,SDA,37237,23.67,"ABU BIN MOHAMED, HARMINDER PAL SINGH S/O GURCHARAN SINGH, KUSWADI BIN ATNAWI, LIM BAK CHUAN DESMOND, KELVIN ONG SOON HUAT"
39,PASIR RIS-PUNGGOL,3,PV,19147,12.17,"GOH KEOW WAH, LIM KAY CHEOW JIREH, MOHAMED NASSIR ISMAIL, PRABU RAMACHANDRAN, VIGNESWARI VR"
40,PASIR RIS-PUNGGOL,3,PAP,100932,64.16,"JANIL PUTHUCHEARY, SHARAEL TAHA, DESMOND TAN, TEO CHEE HEAN, YEO WAN LING"
41,PIONEER,3,-,655,2.78,CHEANG PENG WAH
42,PIONEER,3,PSP,8289,35.22,LIM CHER HONG
43,PIONEER,3,PAP,14593,62.0,PATRICK TAY TECK GUAN
44,POTONG PASIR,2,SPP,7302,39.33,JOSE RAYMOND
45,POTONG PASIR,2,PAP,11264,60.67,SITOH YIH PIN
46,PUNGGOL WEST,2,PAP,15655,60.98,SUN XUELING
47,PUNGGOL WEST,2,WP,10017,39.02,TAN CHEN CHEN
48,RADIN MAS,2,RP,5922,25.99,KUMAR APPAVOO
49,RADIN MAS,2,PAP,16864,74.01,MELVIN YONG YIK CHYE
50,SEMBAWANG,2,PAP,94176,67.29,"LIM WEE KIAK, MARIAM JAAFAR, ONG YE KUNG, POH LI SAN, VIKRAM NAIR"
51,SEMBAWANG,2,NSP,45778,32.71,"NG CHUNG HON, SATHIN S/O RAVINDRAN, SEBASTIAN TEO, YADZETH BIN HAIRIS, YEO TIONG BOON"
52,SENGKANG,2,PAP,55319,47.88,"AMRIN AMIN, LAM PIN MIN, LYE HOONG YIP RAYMOND, NG CHEE MENG"
53,SENGKANG,2,WP,60217,52.12,"CHUA KHENG WEE, HE TING RU, JAMUS JEROME LIM, RAEESAH BEGUM BINTE FARID KHAN"
54,TAMPINES,2,PAP,94668,66.41,"BAEY YAM KENG, CHENG LI HUI, DESMOND CHOO PEY CHING, KOH POH KOON, MASAGOS ZULKIFLI"
55,TAMPINES,2,NSP,47875,33.59,"CHOONG HON HENG, FONG CHIN LEONG, MOHD RIDZWAN BIN MOHAMMAD, VINCENT NG KIAN GUAN, YEO REN-YUAN"
56,TANJONG PAGAR,2,PSP,45807,36.9,"A'BAS BIN KASMANI, CHUA TECK LEONG, MICHAEL, HARISH PILLAY, LOW WEI LING, SOON JUN WEI, TERENCE"
57,TANJONG PAGAR,2,PAP,78330,63.1,"CHAN CHUN SING, ERIC CHUA SWEE LEONG, INDRANEE THURAI RAJAH, JOAN PEREIRA, ALVIN TAN SHENG HUI"
58,WEST COAST,2,PAP,71658,51.68,"ANG WEI NENG, FOO MEE HAR, DESMOND LEE TI-SENG, RACHEL ONG SIN YEN, S ISWARAN"
59,WEST COAST,2,PSP,66996,48.32,"KHOO POH TIONG JEFFREY, LEONG MUN WAI, N. LOGANATHAN, HAZEL POA, TAN CHENG BOCK"
60,YIO CHU KANG,2,PSP,9519,39.18,KAYLA LOW
61,YIO CHU KANG,2,PAP,14775,60.82,YIP HON WENG
62,YUHUA,2,PAP,14131,70.54,GRACE FU HAI YIEN
63,YUHUA,2,SDP,5901,29.46,ROBIN LOW
